Timesteps, Cutstate
0, 139023
1, 139015
2, 139007
3, 139000
4, 138993
5, 138986
6, 138979
7, 138972
8, 138965
9, 138959
10, 138953
11, 138947
12, 138941
13, 138935
14, 138929
15, 138923
16, 138918
17, 138913
18, 138908
19, 138903
20, 138898
21, 138893
22, 138888
23, 138883
24, 138878
25, 138873
26, 138868
27, 138863
28, 138858
29, 138853
30, 138848
31, 138843
32, 138838
33, 138833
34, 138828
35, 138823
36, 138818
37, 138813
38, 138808
39, 138803
40, 138798
41, 138793
42, 138788
43, 138783
44, 138778
45, 138773
46, 138768
47, 138763
48, 138758
49, 138753
50, 138748
51, 138743
52, 138738
53, 138733
54, 138728
55, 138723
56, 138718
57, 138713
58, 138708
59, 138703
60, 138698
61, 138693
62, 138688
63, 138683
64, 138678
65, 138673
66, 138668
67, 138663
68, 138658
69, 138653
70, 138648
71, 138643
72, 138639
73, 138635
74, 138631
75, 138627
76, 138623
77, 138619
78, 138615
79, 138611
80, 138607
81, 138603
82, 138599
83, 138595
84, 138591
85, 138587
86, 138583
87, 138579
88, 138575
89, 138571
90, 138567
91, 138563
92, 138559
93, 138555
94, 138551
95, 138547
96, 138543
97, 138539
98, 138535
99, 138531
100, 138527
101, 138523
102, 138519
103, 138515
104, 138511
105, 138507
106, 138503
107, 138499
108, 138495
109, 138491
110, 138487
111, 138483
112, 138479
113, 138475
114, 138471
115, 138467
116, 138463
117, 138459
118, 138455
119, 138451
120, 138447
121, 138443
122, 138439
123, 138435
124, 138431
125, 138427
126, 138423
127, 138419
128, 138415
129, 138411
130, 138407
131, 138403
132, 138399
133, 138395
134, 138391
135, 138387
136, 138383
137, 138379
138, 138375
139, 138371
140, 138367
141, 138363
142, 138359
143, 138355
144, 138351
145, 138347
146, 138343
147, 138339
148, 138335
149, 138331
150, 138327
151, 138323
152, 138319
153, 138315
154, 138311
155, 138307
156, 138303
157, 138299
158, 138295
159, 138291
160, 138287
161, 138283
162, 138279
163, 138275
164, 138271
165, 138267
166, 138263
167, 138259
168, 138255
169, 138251
170, 138247
171, 138243
172, 138239
173, 138235
174, 138231
175, 138227
176, 138223
177, 138219
178, 138215
179, 138211
180, 138207
181, 138203
182, 138199
183, 138195
184, 138191
185, 138187
186, 138183
187, 138179
188, 138175
189, 138171
190, 138167
191, 138163
192, 138159
193, 138155
194, 138151
195, 138147
196, 138143
197, 138139
198, 138135
199, 138131
200, 138127
201, 138123
202, 138119
203, 138115
204, 138111
205, 138107
206, 138103
207, 138099
208, 138095
209, 138091
210, 138087
211, 138083
212, 138079
213, 138075
214, 138071
215, 138067
216, 138063
217, 138059
218, 138055
219, 138051
220, 138047
221, 138043
222, 138039
223, 138035
224, 138031
225, 138027
226, 138023
227, 138019
228, 138015
229, 138011
230, 138007
231, 138003
232, 137999
233, 137995
234, 137991
235, 137987
236, 137983
237, 137979
238, 137975
239, 137971
240, 137967
241, 137963
242, 137959
243, 137955
244, 137951
245, 137947
246, 137943
247, 137939
248, 137935
249, 137931
250, 137927
251, 137923
252, 137919
253, 137915
254, 137911
255, 137907
256, 137903
257, 137899
258, 137895
259, 137891
260, 137887
261, 137883
262, 137879
263, 137875
264, 137871
265, 137867
266, 137863
267, 137859
268, 137855
269, 137851
270, 137847
271, 137843
272, 137839
273, 137835
274, 137831
275, 137827
276, 137823
277, 137819
278, 137815
279, 137811
280, 137807
281, 137803
282, 137799
283, 137795
284, 137791
285, 137787
286, 137783
287, 137779
288, 137775
289, 137771
290, 137767
291, 137763
292, 137759
293, 137755
294, 137751
295, 137747
296, 137744
297, 137740
298, 137736
299, 137733
300, 137730
301, 137727
302, 137724
303, 137721
304, 137718
305, 137715
306, 137712
307, 137709
308, 137706
309, 137703
310, 137700
311, 137697
312, 137694
313, 137691
314, 137688
315, 137685
316, 137682
317, 137679
318, 137676
319, 137673
320, 137670
321, 137667
322, 137664
323, 137661
324, 137658
325, 137655
326, 137652
327, 137649
328, 137646
329, 137643
330, 137640
331, 137637
332, 137634
333, 137631
334, 137628
335, 137625
336, 137622
337, 137619
338, 137616
339, 137613
340, 137610
341, 137607
342, 137604
343, 137601
344, 137598
345, 137595
346, 137592
347, 137589
348, 137586
349, 137583
350, 137580
351, 137577
352, 137574
353, 137571
354, 137568
355, 137565
356, 137562
357, 137559
358, 137556
359, 137553
360, 137550
361, 137547
362, 137544
363, 137541
364, 137538
365, 137535
366, 137532
367, 137529
368, 137526
369, 137523
370, 137520
371, 137517
372, 137514
373, 137511
374, 137508
375, 137505
376, 137502
377, 137499
378, 137496
379, 137493
380, 137490
381, 137487
382, 137484
383, 137481
384, 137478
385, 137475
386, 137472
387, 137469
388, 137466
389, 137463
390, 137460
391, 137457
392, 137454
393, 137451
394, 137448
395, 137445
396, 137442
397, 137439
398, 137436
399, 137433
400, 137430
401, 137427
402, 137424
403, 137421
404, 137418
405, 137415
406, 137412
407, 137409
408, 137406
409, 137403
410, 137400
411, 137397
412, 137394
413, 137391
414, 137388
415, 137385
416, 137382
417, 137379
418, 137376
419, 137373
420, 137370
421, 137367
422, 137364
423, 137361
424, 137358
425, 137355
426, 137352
427, 137349
428, 137346
429, 137343
430, 137340
431, 137337
432, 137334
433, 137331
434, 137327
435, 137324
436, 137321
437, 137318
438, 137315
439, 137312
440, 137309
441, 137306
442, 137303
443, 137300
444, 137297
445, 137294
446, 137291
447, 137288
448, 137285
449, 137282
450, 137279
451, 137276
452, 137273
453, 137270
454, 137267
455, 137264
456, 137261
457, 137258
458, 137255
459, 137252
460, 137249
461, 137246
462, 137243
463, 137240
464, 137237
465, 137234
466, 137231
467, 137228
468, 137225
469, 137222
470, 137219
471, 137216
472, 137213
473, 137210
474, 137207
475, 137204
476, 137201
477, 137198
478, 137195
479, 137192
480, 137189
481, 137186
482, 137177
483, 137174
484, 137171
485, 137168
486, 137165
487, 137162
488, 137159
489, 137156
490, 137153
491, 137150
492, 137147
493, 137144
494, 137141
495, 137138
496, 137135
497, 137132
498, 137129
499, 137126
500, 137123
501, 137120
502, 137117
503, 137114
504, 137111
505, 137108
506, 137105
507, 137102
508, 137099
509, 137096
510, 137093
511, 137090
512, 137087
513, 137084
514, 137081
515, 137078
516, 137075
517, 137072
518, 137069
519, 137066
520, 137063
521, 137060
522, 137057
523, 137054
524, 137051
525, 137048
526, 137045
527, 137042
528, 137039
529, 137036
530, 137033
531, 137030
532, 137027
533, 137024
534, 137021
535, 137018
536, 137015
537, 137011
538, 137008
539, 137005
540, 137002
541, 136999
542, 136994
543, 136991
544, 136988
545, 136985
546, 136982
547, 136979
548, 136976
549, 136973
550, 136970
551, 136967
552, 136964
553, 136960
554, 136957
555, 136954
556, 136951
557, 136948
558, 136945
559, 136942
560, 136939
561, 136936
562, 136933
563, 136930
564, 136927
565, 136924
566, 136921
567, 136918
568, 136915
569, 136912
570, 136909
571, 136906
572, 136903
573, 136900
574, 136897
575, 136894
576, 136891
577, 136888
578, 136885
579, 136882
580, 136879
581, 136876
582, 136873
583, 136870
584, 136867
585, 136864
586, 136861
587, 136858
588, 136855
589, 136852
590, 136849
591, 136846
592, 136843
593, 136838
594, 136835
595, 136832
596, 136829
597, 136826
598, 136823
599, 136820
600, 136817
601, 136814
602, 136811
603, 136808
604, 136805
605, 136802
606, 136799
607, 136796
608, 136793
609, 136790
610, 136787
611, 136784
612, 136781
613, 136778
614, 136775
615, 136772
616, 136769
617, 136766
618, 136763
619, 136760
620, 136757
621, 136754
622, 136751
623, 136748
624, 136745
625, 136742
626, 136739
627, 136736
628, 136733
629, 136730
630, 136727
631, 136724
632, 136721
633, 136718
634, 136715
635, 136712
636, 136709
637, 136706
638, 136703
639, 136700
640, 136697
641, 136694
642, 136691
643, 136688
644, 136682
645, 136679
646, 136676
647, 136670
648, 136667
649, 136664
650, 136658
651, 136655
652, 136652
653, 136649
654, 136646
655, 136643
656, 136640
657, 136637
658, 136634
659, 136631
660, 136628
661, 136625
662, 136622
663, 136619
664, 136616
665, 136613
666, 136610
667, 136607
668, 136604
669, 136601
670, 136598
671, 136595
672, 136592
673, 136589
674, 136586
675, 136583
676, 136580
677, 136577
678, 136574
679, 136571
680, 136568
681, 136565
682, 136562
683, 136559
684, 136556
685, 136553
686, 136550
687, 136547
688, 136544
689, 136541
690, 136538
691, 136535
692, 136532
693, 136529
694, 136526
695, 136523
696, 136520
697, 136517
698, 136514
699, 136511
700, 136508
701, 136505
702, 136502
703, 136499
704, 136493
705, 136490
706, 136487
707, 136483
708, 136480
709, 136477
710, 136474
711, 136471
712, 136468
713, 136465
714, 136462
715, 136459
716, 136456
717, 136453
718, 136450
719, 136447
720, 136444
721, 136441
722, 136438
723, 136435
724, 136432
725, 136429
726, 136426
727, 136423
728, 136420
729, 136417
730, 136414
731, 136411
732, 136408
733, 136405
734, 136402
735, 136399
736, 136396
737, 136393
738, 136390
739, 136387
740, 136384
741, 136381
742, 136378
743, 136375
744, 136372
745, 136369
746, 136366
747, 136363
748, 136360
749, 136357
750, 136354
751, 136351
752, 136348
753, 136345
754, 136342
755, 136339
756, 136336
757, 136333
758, 136330
759, 136327
760, 136322
761, 136319
762, 136314
763, 136311
764, 136308
765, 136303
766, 136300
767, 136295
768, 136292
769, 136287
770, 136282
771, 136279
772, 136274
773, 136271
774, 136266
775, 136263
776, 136260
777, 136255
778, 136252
779, 136247
780, 136244
781, 136239
782, 136236
783, 136231
784, 136226
785, 136223
786, 136220
787, 136217
788, 136212
789, 136207
790, 136204
791, 136199
792, 136196
793, 136193
794, 136188
795, 136183
796, 136178
797, 136175
798, 136170
799, 136167
800, 136162
801, 136157
802, 136154
803, 136149
804, 136145
805, 136142
806, 136139
807, 136136
808, 136133
809, 136130
810, 136127
811, 136124
812, 136121
813, 136118
814, 136115
815, 136112
816, 136109
817, 136106
818, 136103
819, 136100
820, 136097
821, 136094
822, 136091
823, 136088
824, 136085
825, 136082
826, 136079
827, 136076
828, 136073
829, 136070
830, 136067
831, 136064
832, 136061
833, 136058
834, 136055
835, 136052
836, 136049
837, 136046
838, 136043
839, 136040
840, 136037
841, 136034
842, 136031
843, 136028
844, 136025
845, 136022
846, 136019
847, 136016
848, 136013
849, 136010
850, 136007
851, 136004
852, 136001
853, 135998
854, 135995
855, 135992
856, 135987
857, 135984
858, 135981
859, 135976
860, 135973
861, 135970
862, 135965
863, 135962
864, 135957
865, 135954
866, 135949
867, 135946
868, 135941
869, 135938
870, 135933
871, 135930
872, 135925
873, 135920
874, 135917
875, 135914
876, 135909
877, 135906
878, 135903
879, 135900
880, 135895
881, 135892
882, 135887
883, 135884
884, 135881
885, 135876
886, 135871
887, 135868
888, 135863
889, 135860
890, 135855
891, 135850
892, 135847
893, 135844
894, 135839
895, 135836
896, 135831
897, 135828
898, 135823
899, 135818
900, 135815
901, 135812
902, 135807
903, 135802
904, 135799
905, 135794
906, 135791
907, 135788
908, 135783
909, 135780
910, 135775
911, 135772
912, 135767
913, 135762
914, 135759
915, 135756
916, 135751
917, 135748
918, 135745
919, 135740
920, 135737
921, 135734
922, 135731
923, 135728
924, 135725
925, 135722
926, 135719
927, 135716
928, 135713
929, 135710
930, 135707
931, 135704
932, 135701
933, 135698
934, 135694
935, 135691
936, 135688
937, 135682
938, 135679
939, 135676
940, 135673
941, 135670
942, 135667
943, 135664
944, 135661
945, 135658
946, 135655
947, 135652
948, 135649
949, 135646
950, 135643
951, 135640
952, 135637
953, 135634
954, 135631
955, 135628
956, 135625
957, 135622
958, 135619
959, 135616
960, 135613
961, 135610
962, 135607
963, 135604
964, 135601
965, 135598
966, 135595
967, 135592
968, 135589
969, 135586
970, 135583
971, 135580
972, 135577
973, 135574
974, 135571
975, 135568
976, 135565
977, 135562
978, 135559
979, 135556
980, 135553
981, 135550
982, 135547
983, 135544
984, 135541
985, 135538
986, 135535
987, 135532
988, 135529
989, 135526
990, 135522
991, 135519
992, 135516
993, 135512
994, 135508
995, 135505
996, 135501
997, 135498
998, 135494
999, 135491
1000, 135487
1001, 135484
1002, 135481
1003, 135477
1004, 135474
1005, 135471
1006, 135467
1007, 135464
1008, 135461
1009, 135457
1010, 135455
1011, 135451
